Bradley Scott	Jones	5	G
Doniéber Alexander	Marangon	5	G
Pepe José Manuel	Reina Paez	5	G
Daniel Munthe	Agger	5	D
Jamie	Carragher	5	D
Fabio	Aurelio Rodrigues	5	D
Conor	Coady	5	D
Sebastian	Coates Nion	5	D
Jose	Enrique	5	D
John	Flanagan	5	D
Glen	Johnson	5	D
Martin	Kelly	5	D
Jack	Robinson	5	D
Martin	Skrtel	5	D
Danny	Wilson	5	D
Charlie	Adam	5	M
Stewart	Downing	5	M
Steven George	Gerrard	5	M
Jordan Brian	Henderson	5	M
Lucas	Leiva Pezzini	5	M
Maxi Maximiliano Ruben	Rodriguez	5	M
Jonjo	Shelvey	5	M
Jay	Spearing	5	M
Craig	Bellamy	5	A
Andy Andrew Thomas	Carroll	5	A
Dirk	Kuyt	5	A
Luis Alberto	Suarez Diaz	5	A
Kenny Kenneth Mathieson	Dalglish	5	C
Carlo	Cudicini	6	G
Heurelho	da#Silva Gomes	6	G
Bradley Howard	Friedel	6	G
Benoit	Assou Ekotto	6	D
Jack	Barthram	6	D
Michael Richard	Dawson	6	D
William	Gallas	6	D
Younes	Kaboul	6	D
Bongani Sandile	Khumalo	6	D
Ledley	King	6	D
Ryan William	Nelsen	6	D
Kevin	Stewart	6	D
Kyle	Walker	6	D
Gareth Frank	Bale	6	M
David Michael	Bentley	6	M
Ryan	Fredericks	6	M
Jermaine Anthony	Jenas	6	M
Thomas Andrew	Huddlestone	6	M
Niko	Kranjcar	6	M
Aaron Justin	Lennon	6	M
Jake Cyril	Livermore	6	M
Massimo	Luongo	6	M
Luka	Modric	6	M
Jake	Nicholson	6	M
Scott	Parker	6	M
Alex	Pritchard	6	M
Sandro	Ranieri Guimaraes Cordeiro	6	M
Danny	Rose	6	M
Rafael	van#der#Vaart	6	M
Emmanuel	Adebayor	6	A
Cristian	Ceballos Prieto	6	A
Simon	Dawkins	6	A
Jermain Colin	Defoe	6	A
Giovani	dos#Santos Ramirez	6	A
Cameron	Lancaster	6	A
Louis Laurent	Saha	6	A
Henry James Harry	Redknapp	6	C
Robert	Elliot	7	G
Stephen Alan	Harper	7	G
Tim	Krul	7	G
Fabricio	Coloccini	7	D
Paul	Dummett	7	D
Shane	Ferguson	7	D
Tamas	Kadar	7	D
James	Perch	7	D
Davide	Santon	7	D
Daniel Peter Danny	Simpson	7	D
Ryan Anthony	Taylor	7	D
Steven Vincent	Taylor	7	D
Mike James	Williamson	7	D
Mehdi	Abeid	7	M
